Xema sabini,Sabine's_Gull
Amphispiza belli,Sage_Sparrow
Oreoscoptes montanus,Sage_Thrasher
Ammodramus caudacutus,Saltmarsh_Sparrow
Riparia riparia,Sand_Martin
Sterna sandvicensis,Sandwich_Tern
Passerculus sandwichensis,Savannah_Sparrow
Sayornis saya,Say's_Phoebe
Grallaria guatimalensis,Scaled_Antpitta
Patagioenas speciosa,Scaled_Pigeon
Callipepla squamata,Scaled_Quail
Phaeochroa cuvierii,Scaly-breasted_Hummingbird
Patagioenas squamosa,Scaly-naped_Pigeon
Anabacerthia variegaticeps,Scaly-throated_Foliage-gleaner
Ara macao,Scarlet_Macaw
Tyrannus forficatus,Scissor-tailed_Flycatcher
Ammodramus maritimus,Seaside_Sparrow
Cistothorus platensis,Sedge_Wren
Charadrius semipalmatus,Semipalmated_Plover
Leptopogon amaurocephalus,Sepia-capped_Flycatcher
Tympanuchus phasianellus,Sharp-tailed_Grouse
Calidris acuminata,Sharp-tailed_Sandpiper
Limnodromus griseus,Short-billed_Dowitcher
Lophornis brachylophus,Short-crested_Coquette
Asio flammeus,Short-eared_Owl
Phoebastria albatrus,Short-tailed_Albatross
Buteo brachyurus,Short-tailed_Hawk
Lurocalis semitorquatus,Short-tailed_Nighthawk
Puffinus tenuirostris,Short-tailed_Shearwater
Prunella montanella,Siberian_Accentor
Parus cinctus,Siberian_Tit
Corvus sinaloae,Sinaloa_Crow
Thryothorus sinaloa,Sinaloa_Wren
Dactylortyx thoracicus,Singing_Quail
Myadestes unicolor,Slate-coloured_Solitaire
Myrmotherula schisticolor,Slaty_Antwren
Vireo brevipennis,Slaty_Vireo
Larus schistisagus,Slaty-backed_Gull
Crypturellus boucardi,Slaty-breasted_Tinamou
Trogon massena,Slaty-tailed_Trogon
Doricha enicura,Slender_Sheartail
Calcarius pictus,Smith's_Longspur
Picoides fumigatus,Smoky-brown_Woodpecker
Crotophaga ani,Smooth-billed_Ani
Rostrhamus sociabilis,Snail_Kite
